tscr_a,tscr_b,tscr_r,tlr_a,tlr_b,tlr_r,Vinflux,Vdam,Vtag,Vrep,dil_rh,dil_rd,dil_rt,dil_rma,dil_rmb,dil_rmr,dil_rtca,dil_rtcb,dil_rtcr,deg_rd,deg_rma,deg_rmb,deg_rmr
2.0,2.0,0.0,4.0,22.0,1.0,61648.0,55671.0,47.0,1492.0,7726.0,50197.0,89.0,0.0,0.0,0.0,398.0,71.0,2.0,3723.0,3.0,3.0,0.0
1.0,3.0,0.0,30.0,39.0,2.0,61342.0,56150.0,30.0,2174.0,7929.0,49080.0,869.0,0.0,1.0,0.0,389.0,85.0,3.0,3571.0,2.0,2.0,0.0
0.0,1.0,0.0,35.0,5.0,0.0,61640.0,55236.0,160.0,964.0,7806.0,48832.0,1713.0,0.0,0.0,0.0,36.0,6.0,1.0,3482.0,0.0,2.0,0.0
1.0,3.0,0.0,15.0,24.0,1.0,61287.0,54244.0,438.0,696.0,8225.0,49747.0,266.0,0.0,1.0,0.0,238.0,837.0,2.0,3617.0,2.0,3.0,0.0
2.0,3.0,0.0,23.0,5.0,1.0,61403.0,55387.0,25.0,1349.0,7609.0,49615.0,634.0,1.0,2.0,0.0,526.0,463.0,2.0,3629.0,2.0,2.0,0.0
2.0,1.0,0.0,17.0,3.0,0.0,61288.0,54385.0,34.0,364.0,7578.0,50053.0,143.0,1.0,0.0,0.0,47.0,93.0,1.0,3593.0,2.0,2.0,0.0
1.0,2.0,0.0,41.0,35.0,1.0,61355.0,53965.0,11.0,261.0,7688.0,49451.0,672.0,0.0,1.0,0.0,312.0,105.0,2.0,3561.0,2.0,1.0,0.0
1.0,1.0,0.0,28.0,4.0,0.0,60857.0,53609.0,19.0,207.0,7523.0,49240.0,597.0,0.0,1.0,0.0,178.0,5.0,1.0,3535.0,2.0,1.0,0.0
2.0,2.0,0.0,31.0,9.0,1.0,61492.0,54204.0,38.0,5973.0,7676.0,49975.0,757.0,0.0,0.0,0.0,32.0,401.0,2.0,3549.0,3.0,3.0,0.0
5.0,10.0,1.0,45.0,6.0,15.0,61377.0,56098.0,324.0,2545.0,8502.0,48984.0,1076.0,2.0,2.0,0.0,807.0,738.0,16.0,3469.0,3.0,9.0,1.0
