t,atp
2.9011307e7,0.0
2.9016307e7,0.0
2.9021307e7,0.0
2.9026307e7,0.0
2.9031307e7,0.0
2.9036307e7,0.0
2.9041307e7,0.0
2.9046307e7,0.0
2.9051307e7,0.0
2.9056307e7,0.0
2.9061307e7,0.0
2.9066307e7,0.0
2.9071307e7,0.0
2.9076307e7,0.0
2.9081307e7,0.0
2.9086307e7,0.0
2.9091307e7,0.0
2.9096307e7,0.0
2.9101307e7,0.0
2.9106307e7,0.0
2.9111307e7,0.0
2.9116307e7,0.0
2.9121307e7,0.0
2.9126307e7,0.0
2.9131307e7,0.0
2.9136307e7,0.0
2.9141307e7,0.0
2.9146307e7,0.0
2.9151307e7,0.0
2.9156307e7,0.0
2.9161307e7,0.0
2.9166307e7,0.0
2.9171307e7,0.0
2.9176307e7,0.0
2.9181307e7,0.0
2.9186307e7,0.0
2.9191307e7,0.0
2.9196307e7,0.0
2.9201307e7,0.0
2.9206307e7,0.0
2.9211307e7,0.0
2.9216307e7,0.0
2.9221307e7,0.0
2.9226307e7,0.0
2.9231307e7,0.0
2.9236307e7,0.0
2.9241307e7,0.0
2.9246307e7,0.0
2.9251307e7,0.0
2.9256307e7,0.0
2.9261307e7,0.0
2.9266307e7,0.0
2.9271307e7,0.0
2.9276307e7,0.0
2.9281307e7,0.0
2.9286307e7,0.0
2.9291307e7,0.0
2.9296307e7,0.0
2.9301307e7,0.0
2.9306307e7,0.0
2.9311307e7,0.0
2.9316307e7,0.0
2.9321307e7,0.0
2.9326307e7,0.0
2.9331307e7,0.0
2.9336307e7,0.0
2.9341307e7,0.0
2.9346307e7,0.0
2.9351307e7,0.0
2.9356307e7,0.0
2.9361307e7,0.0
2.9366307e7,0.0
2.9371307e7,0.0
2.9376307e7,0.0
2.9381307e7,0.0
2.9386307e7,0.0
2.9391307e7,0.0
2.9396307e7,0.0
2.9401307e7,0.0
2.9406307e7,0.0
2.9411307e7,0.0
2.9416307e7,0.0
2.9421307e7,0.0
2.9426307e7,0.0
2.9431307e7,0.0
2.9436307e7,0.0
2.9441307e7,0.0
2.9446307e7,0.0
2.9451307e7,0.0
2.9456307e7,0.0
2.9461307e7,0.0
2.9466307e7,0.0
2.9471307e7,0.0
2.9476307e7,0.0
2.9481307e7,0.0
2.9486307e7,0.0
2.9491307e7,0.0
2.9496307e7,0.0
2.9501307e7,0.0
2.9506307e7,0.0
2.9511307e7,0.0
2.9516307e7,0.0
2.9521307e7,0.0
2.9526307e7,0.0
2.9531307e7,0.0
2.9536307e7,0.0
2.9541307e7,0.0
2.9546307e7,0.0
2.9551307e7,0.0
2.9556307e7,0.0
2.9561307e7,0.0
2.9566307e7,0.0
2.9571307e7,0.0
2.9576307e7,0.0
2.9581307e7,0.0
2.9586307e7,0.0
2.9591307e7,0.0
2.9596307e7,0.0
2.9601307e7,0.0
2.9606307e7,0.0
2.9611307e7,0.0
2.9616307e7,0.0
2.9621307e7,0.0
2.9626307e7,0.0
2.9631307e7,0.0
2.9636307e7,0.0
2.9641307e7,0.0
2.9646307e7,0.0
2.9651307e7,0.0
2.9656307e7,0.0
2.9661307e7,0.0
2.9666307e7,0.0
2.9671307e7,0.0
2.9676307e7,0.0
2.9681307e7,0.0
2.9686307e7,0.0
2.9691307e7,0.0
2.9696307e7,0.0
2.9701307e7,0.0
2.9706307e7,0.0
2.9711307e7,0.0
2.9716307e7,0.0
2.9721307e7,0.0
2.9726307e7,0.0
2.9731307e7,0.0
2.9736307e7,0.0
2.9741307e7,0.0
2.9746307e7,0.0
2.9751307e7,0.0
2.9756307e7,0.0
2.9761307e7,0.0
2.9766307e7,0.0
2.9771307e7,0.0
2.9776307e7,0.0
2.9781307e7,0.0
2.9786307e7,0.0
2.9791307e7,0.0
2.9796307e7,0.0
2.9801307e7,0.0
2.9806307e7,0.0
2.9811307e7,0.0
2.9816307e7,0.0
2.9821307e7,0.0
2.9826307e7,0.0
2.9831307e7,0.0
2.9836307e7,0.0
2.9841307e7,0.0
2.9846307e7,0.0
2.9851307e7,0.0
2.9856307e7,0.0
2.9861307e7,0.0
2.9866307e7,0.0
2.9871307e7,0.0
2.9876307e7,0.0
2.9881307e7,0.0
2.9886307e7,0.0
2.9891307e7,0.0
2.9896307e7,0.0
2.9901307e7,0.0
2.9906307e7,0.0
2.9911307e7,0.0
2.9916307e7,0.0
2.9921307e7,0.0
2.9926307e7,0.0
2.9931307e7,0.0
2.9936307e7,0.0
2.9941307e7,0.0
2.9946307e7,0.0
2.9951307e7,0.0
2.9956307e7,0.0
2.9961307e7,0.0
2.9966307e7,0.0
2.9971307e7,0.0
2.9976307e7,0.0
2.9981307e7,0.0
2.9986307e7,0.0
2.9991307e7,0.0
2.9996307e7,0.0
3.0001307e7,0.0
3.0006307e7,0.0
3.0011307e7,0.0
3.0016307e7,0.0
3.0021307e7,0.0
3.0026307e7,0.0
3.0031307e7,0.0
3.0036307e7,0.0
3.0041307e7,0.0
3.0046307e7,0.0
3.0051307e7,0.0
3.0056307e7,0.0
3.0061307e7,0.0
3.0066307e7,0.0
3.0071307e7,0.0
3.0076307e7,0.0
3.0081307e7,0.0
3.0086307e7,0.0
3.0091307e7,0.0
3.0096307e7,0.0
3.0101307e7,0.0
3.0106307e7,0.0
3.0111307e7,0.0
3.0116307e7,0.0
3.0121307e7,0.0
3.0126307e7,0.0
3.0131307e7,0.0
3.0136307e7,0.0
3.0141307e7,0.0
3.0146307e7,0.0
3.0151307e7,0.0
3.0156307e7,0.0
3.0161307e7,0.0
3.0166307e7,0.0
3.0171307e7,0.0
3.0176307e7,0.0
3.0181307e7,0.0
3.0186307e7,0.0
3.0191307e7,0.0
3.0196307e7,0.0
3.0201307e7,0.0
3.0206307e7,0.0
3.0211307e7,0.0
3.0216307e7,0.0
3.0221307e7,0.0
3.0226307e7,0.0
3.0231307e7,0.0
3.0236307e7,0.0
3.0241307e7,0.0
3.0246307e7,0.0
3.0251307e7,0.0
3.0256307e7,0.0
3.0261307e7,0.0
3.0266307e7,0.0
3.0271307e7,0.0
3.0276307e7,0.0
3.0281307e7,0.0
3.0286307e7,0.0
3.0291307e7,0.0
3.0296307e7,0.0
3.0301307e7,0.0
3.0306307e7,0.0
3.0311307e7,0.0
3.0316307e7,0.0
3.0321307e7,0.0
3.0326307e7,0.0
3.0331307e7,0.0
3.0336307e7,0.0
3.0341307e7,0.0
3.0346307e7,0.0
3.0351307e7,0.0
3.0356307e7,0.0
3.0361307e7,0.0
3.0366307e7,0.0
3.0371307e7,0.0
3.0376307e7,0.0
3.0381307e7,0.0
3.0386307e7,0.0
3.0391307e7,0.0
3.0396307e7,0.0
3.0401307e7,0.0
3.0406307e7,0.0
3.0411307e7,0.0
3.0416307e7,0.0
3.0421307e7,0.0
3.0426307e7,0.0
3.0431307e7,0.0
3.0436307e7,0.0
3.0441307e7,0.0
3.0446307e7,0.0
3.0451307e7,0.0
3.0456307e7,0.0
3.0461307e7,0.0
3.0466307e7,0.0
3.0471307e7,0.0
3.0476307e7,0.0
3.0481307e7,0.0
3.0486307e7,0.0
3.0491307e7,0.0
3.0496307e7,0.0
3.0501307e7,0.0
3.0506307e7,0.0
3.0511307e7,0.0
3.0516307e7,0.0
3.0521307e7,0.0
3.0526307e7,0.0
3.0531307e7,0.0
3.0536307e7,0.0
3.0541307e7,0.0
3.0546307e7,0.0
3.0551307e7,0.0
3.0556307e7,0.0
3.0561307e7,0.0
3.0566307e7,0.0
3.0571307e7,0.0
3.0576307e7,0.0
3.0581307e7,0.0
