gr,atp,time
1.6235981602853596e-5,85.80873867718668,216.26152593673427
1.6234894409650273e-5,85.80299008374854,216.26154258302373
1.6233772983277296e-5,85.79706025387016,216.26155413911601
1.6232623949741263e-5,85.79098430691465,216.26156230336673
1.6231442066685965e-5,85.78473457750687,216.26156854388748
1.6229954250954666e-5,85.77686703157913,216.26157478440823
1.6228162969356046e-5,85.76739470650736,216.26158102492897
1.6226091284081138e-5,85.75643954933739,216.26158726544972
1.622376809976493e-5,85.74415440291655,216.26159350597047
1.6221222207979555e-5,85.73069151296198,216.2615997464912
1.6218480425910117e-5,85.71619268525298,216.26160598701196
1.621556711149385e-5,85.70078672159711,216.2616122275327
1.6212504117814153e-5,85.68458917859304,216.26161846805346
1.6209310896932398e-5,85.66770291663157,216.2616247085742
1.620600466047727e-5,85.65021894903805,216.26163094909495
1.6202519700870783e-5,85.6317897959852,216.26163733590624
1.6198495444758627e-5,85.61050865475005,216.26164451891796
1.6193526962161192e-5,85.5842341192805,216.26165316660024
1.6186859467012524e-5,85.54897459068276,216.26166448502897
1.6177254830690547e-5,85.49818225179833,216.2616803877071
1.6166101211201845e-5,85.43919779995092,216.2616984698816
1.6153354451440152e-5,85.37178744323826,216.26171882827998
1.6139238982710448e-5,85.29713777965763,216.2617411519264
1.6123878713020913e-5,85.21590381437588,216.26176529907875
1.6107449174484754e-5,85.12901359710943,216.26179104016285
1.609009032229256e-5,85.03720706714255,216.2618181904714
1.6071935524027053e-5,84.9411893674623,216.26184656455845
1.6053096081205655e-5,84.84154898194379,216.26187600290547
1.6033663769823452e-5,84.73877116523256,216.26190637068942
1.6013703776870142e-5,84.63320057513016,216.2619375710581
1.5993241815842585e-5,84.5249731113593,216.26196956683103
1.5972232735897715e-5,84.41384986022861,216.26200243062993
1.595049842658434e-5,84.29888861242577,216.2620364428095
1.592762535209762e-5,84.1779018036875,216.2620722526521
1.590284316264897e-5,84.04681429464775,216.2621110696155
1.5874925040872e-5,83.8991360255477,216.26215482129754
1.584202552220794e-5,83.72510378680826,216.26220641069432
1.580119394043032e-5,83.50910677976961,216.26227048529904
1.5747109978672582e-5,83.22299619887181,216.2623554365473
1.5668617762105362e-5,82.80774576811845,216.2624788904414
1.5537365634689603e-5,82.11333654395493,216.26268576290755
1.526393402949127e-5,80.66657113044468,216.26311851354887
1.4689536897577423e-5,77.62697494767066,216.26403570918615
1.3941451009812504e-5,73.66794383718124,216.26524781300753
1.286087336109937e-5,67.94941939623969,216.26703769231082
1.139939245153296e-5,60.216146889176876,216.26954509611147
9.420524942427393e-6,49.74783626142532,216.27314557910262
7.095909702724664e-6,37.45536400814983,216.27782149471807
4.896572784608945e-6,25.8317704758133,216.28301883089046
3.1356272536056258e-6,16.531641175659633,216.2882980037651
1.868633567912688e-6,9.845737609293895,216.29357717663976
1.044107248761072e-6,5.498446847540602,216.2988563495144
5.528709903380346e-7,2.910383442218736,216.30417463117203
2.758144561122549e-7,1.451555854550397,216.30970646312758
1.3200464590146252e-7,0.6946145546913474,216.31540430612782
6.138876442773057e-8,0.3230068534649114,216.32123791741654
2.789325742057183e-8,0.14675970114702927,216.3272056249757
1.2451129323025965e-8,0.06551027698518001,216.33328699406817
5.481722720743414e-9,0.02884130228200136,216.33946310268547
2.3870773078122713e-9,0.012559236698759225,216.34571747576345
1.030273342148083e-9,0.005420620674185606,216.35203694211026
4.414288575766788e-10,0.0023225091812093678,216.35841068135548
1.879877224622695e-10,0.000989068869250329,216.36482983803756
7.965013729410893e-11,0.00041906749421135887,216.37128720453595
3.360161196318133e-11,0.00017679012010308025,216.37777717991148
1.4121006273281208e-11,7.429575005501928e-5,216.38429606834558
5.9121665662770435e-12,3.110609119676842e-5,216.39084313281995
2.4644393576363916e-12,1.29663390808677e-5,216.39742332658523
1.02045136939994e-12,5.368982826120515e-6,216.40405379211575
4.1730744301184864e-13,2.1956155757910966e-6,216.41077814224755
1.6637929284787297e-13,8.753866722744866e-7,216.41769377153364
6.305171154709167e-14,3.3174015776727936e-7,216.424992230065
2.1767007556369404e-14,1.1452504071541059e-7,216.43299477118111
6.426093063452045e-15,3.381032773331187e-8,216.4421822749177
1.4767689592977305e-15,7.769904871908401e-9,216.45328172909439
2.272809299909451e-16,1.195823656940181e-9,216.46752190730325
